"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","25400","40077","OK","Latimer OK","Fanshawe town, OK",5,0.0119 
"40","25400","40079","OK","Le Flore OK","Fanshawe town, OK",414,0.9881 
"40","25450","40045","OK","Ellis OK","Fargo town, OK",364,1 
"40","25650","40031","OK","Comanche OK","Faxon town, OK",136,1 
"40","25850","40025","OK","Cimarron OK","Felt CDP, OK",93,1 
"40","26250","40123","OK","Pontotoc OK","Fitzhugh town, OK",230,1 
"40","26350","40031","OK","Comanche OK","Fletcher town, OK",1177,1 
"40","26415","40041","OK","Delaware OK","Flint Creek CDP, OK",732,1 
"40","26525","40135","OK","Sequoyah OK","Flute Springs CDP, OK",130,1 
"40","26750","40113","OK","Osage OK","Foraker town, OK",19,1 
"40","26850","40109","OK","Oklahoma OK","Forest Park town, OK",998,1 
"40","26900","40007","OK","Beaver OK","Forgan town, OK",547,1 
"40","27100","40015","OK","Caddo OK","Fort Cobb town, OK",634,1 
"40","27150","40079","OK","Le Flore OK","Fort Coffee town, OK",424,1 
"40","27200","40021","OK","Cherokee OK","Fort Gibson town, OK",22,0.0053 
"40","27200","40101","OK","Muskogee OK","Fort Gibson town, OK",4132,0.9947 
"40","27350","40153","OK","Woodward OK","Fort Supply town, OK",330,1 
"40","27400","40023","OK","Choctaw OK","Fort Towson town, OK",519,1 
"40","27450","40149","OK","Washita OK","Foss town, OK",151,1 
"40","27500","40049","OK","Garvin OK","Foster town, OK",161,1 
"40","27600","40131","OK","Rogers OK","Foyil town, OK",344,1 
"40","27650","40123","OK","Pontotoc OK","Francis town, OK",315,1 
"40","27800","40141","OK","Tillman OK","Frederick city, OK",3940,1 
"40","27850","40151","OK","Woods OK","Freedom town, OK",289,1 
"40","27900","40065","OK","Jackson OK","Friendship town, OK",24,1 
"40","28250","40045","OK","Ellis OK","Gage town, OK",442,1 
"40","28350","40135","OK","Sequoyah OK","Gans town, OK",312,1 
"40","28500","40047","OK","Garfield OK","Garber city, OK",822,1 
"40","28700","40089","OK","McCurtain OK","Garvin town, OK",256,1 
